Title,Sales,Series,Platform(s),Initial release date,Developer(s)[b],Publisher(s)[b]
Minecraft,"238,000,000",Minecraft,Multi-platform,"November 18, 2011[c]",Mojang Studios,Mojang Studios
Grand Theft Auto V,"185,000,000",Grand Theft Auto,Multi-platform,17-Sep-13,Rockstar North,Rockstar Games
Tetris (EA),"100,000,000",Tetris,Multi-platform,12-Sep-06,EA Mobile,Electronic Arts
Wii Sports,"82,900,000",Wii,Wii,19-Nov-06,Nintendo EAD,Nintendo
PUBG: Battlegrounds,"75,000,000",PUBG Universe,Multi-platform,20-Dec-17,PUBG Corporation,Krafton
Mario Kart 8 / Deluxe,"63,920,000",Mario Kart,Wii U / Switch,29-May-14,Nintendo EAD / Nintendo EPD (Deluxe),Nintendo
Super Mario Bros.,"58,000,000",Super Mario,Multi-platform,13-Sep-85,Nintendo R&D4,Nintendo
Red Dead Redemption 2,"55,000,000",Red Dead,Multi-platform,26-Oct-18,Rockstar Studios,Rockstar Games
Overwatch,"50,000,000",Overwatch,Multi-platform,24-May-16,Blizzard Entertainment,Blizzard Entertainment
The Witcher 3: Wild Hunt,"50,000,000",The Witcher,Multi-platform,19-May-15,CD Projekt Red,CD Projekt
Tetris (1989)[f],"48,000,000",Tetris,Game Boy / NES,14-Jun-89,Nintendo R&D1,Nintendo
Pokémon Red / Green / Blue / Yellow,"47,520,000",Pokémon,Multi-platform,27-Feb-96,Game Freak,Nintendo
Terraria,"44,500,000",None,Multi-platform,16-May-11,Re-Logic,Re-Logic / 505 Games
Wii Fit / Plus,"43,800,000",Wii,Wii,1-Dec-07,Nintendo EAD,Nintendo
Animal Crossing: New Horizons,"42,790,000",Animal Crossing,Nintendo Switch,20-Mar-20,Nintendo EPD,Nintendo
Pac-Man,"42,071,635",Pac-Man,Multi-platform,22-May-80,Namco,Namco
Human: Fall Flat,"40,000,000",None,Multi-platform,22-Jul-16,No Brakes Games,Curve Digital
Mario Kart Wii,"37,380,000",Mario Kart,Wii,10-Apr-08,Nintendo EAD,Nintendo
Wii Sports Resort,"33,140,000",Wii,Wii,25-Jun-09,Nintendo EAD,Nintendo
The Legend of Zelda: Breath of the Wild,"32,350,000",The Legend of Zelda,Wii U / Switch,3-Mar-17,Nintendo EPD,Nintendo
Super Smash Bros. Ultimate,"31,770,000",Super Smash Bros.,Nintendo Switch,7-Dec-18,Bandai Namco Studios / Sora Ltd.,Nintendo
New Super Mario Bros.,"30,800,000",Super Mario,Nintendo DS,15-May-06,Nintendo EAD,Nintendo
New Super Mario Bros. Wii,"30,320,000",Super Mario,Wii,11-Nov-09,Nintendo EAD,Nintendo
Call of Duty: Modern Warfare,"30,000,000",Call of Duty,Multi-platform,25-Oct-19,Infinity Ward,Activision
Diablo III,"30,000,000",Diablo,Multi-platform,16-May-12,Blizzard Entertainment,Blizzard Entertainment
Pokémon Gold / Silver / Crystal,"29,490,000",Pokémon,Game Boy Color,21-Nov-99,Game Freak,Nintendo
Duck Hunt,"28,300,000",None,NES,21-Apr-84,Nintendo R&D1,Nintendo
Wii Play,"28,020,000",Wii,Wii,2-Dec-06,Nintendo EAD,Nintendo
The Walking Dead,"28,000,000",The Walking Dead,Multi-platform,24-Apr-12,Telltale Games,Telltale Games
Grand Theft Auto IV,"28,000,000",Grand Theft Auto,Multi-platform,29-Apr-08,Rockstar North,Rockstar Games
Grand Theft Auto: San Andreas,"27,500,000",Grand Theft Auto,Multi-platform,26-Oct-04,Rockstar North,Rockstar Games
Borderlands 2,"27,000,000",Borderlands,Multi-platform,18-Sep-12,Gearbox Software,2K Games
Super Mario World,"26,662,500",Super Mario,Multi-platform,21-Nov-90,Nintendo EAD,Nintendo
Call of Duty: Modern Warfare 3,"26,500,000",Call of Duty,Multi-platform,8-Nov-11,Infinity Ward / Sledgehammer,Activision
Super Mario Odyssey,"26,440,000",Super Mario,Nintendo Switch,27-Oct-17,Nintendo EPD,Nintendo
FIFA 18,"26,400,000",FIFA,Multi-platform,29-Sep-17,EA Vancouver,EA Sports
Call of Duty: Black Ops,"26,200,000",Call of Duty,Multi-platform,9-Nov-10,Treyarch,Activision
Pokémon Sword / Shield,"25,920,000",Pokémon,Nintendo Switch,15-Nov-19,Game Freak,Nintendo / The Pokémon Company
Pokémon Sun / Moon / Ultra Sun / Ultra Moon,"25,450,000",Pokémon,Nintendo 3DS,18-Nov-16,Game Freak,Nintendo / The Pokémon Company
New Super Mario Bros. U / Luigi U / Deluxe,"25,060,000",Super Mario,Wii U / Switch,18-Nov-12,Nintendo EAD,Nintendo
Pokémon Diamond / Pearl / Platinum,"24,730,000",Pokémon,Nintendo DS,28-Sep-06,Game Freak,Nintendo / The Pokémon Company
Super Mario Bros. 3,"24,430,000",Super Mario,Multi-platform,23-Oct-88,Nintendo EAD,Nintendo
Call of Duty: Black Ops II,"24,200,000",Call of Duty,Multi-platform,12-Nov-12,Treyarch,Activision
Kinect Adventures!,"24,000,000",None,Xbox 360,4-Nov-10,Good Science Studio,Xbox Game Studios
Nintendogs,"23,960,000",None,Nintendo DS,21-Apr-05,Nintendo EAD,Nintendo
Mario Kart DS,"23,600,000",Mario Kart,Nintendo DS,14-Nov-05,Nintendo EAD,Nintendo
Sonic the Hedgehog,"23,482,960",Sonic the Hedgehog,Multi-platform,23-Jun-91,Sonic Team,Sega
Pokémon Ruby / Sapphire / Emerald,"23,280,000",Pokémon,Game Boy Advance,21-Nov-02,Game Freak,Nintendo / The Pokémon Company
God of War,"23,000,000",God of War,PlayStation 4 / Windows,20-Apr-18,Santa Monica Studio,Sony Interactive Entertainment
Red Dead Redemption,"23,000,000",Red Dead,PS3 / Xbox 360,18-May-10,Rockstar San Diego,Rockstar Games
